,alt_names,guard,properties,damage,scaling,chip_damage,meter_on_hit,meter_on_whiff,on_hit_adv,on_hit_effect,on_block_adv,startup,active,recovery,hitstun,blockstun,hitstop,blockstop,super_hitstop,on_pushblock,footer,thumbnail_url,footer_url,move_category,undizzy,scaling_for_hit,scaling_after_modifiers,character,move_name,scaled_damage,summed_damage
0,MACRO_2LK,['Low'],['-'],250,,,['2.5'],,2,,0 ,['7'],['3'],['15'],['19'],['17'],['7'],,,"['9', '25']",,https://wiki.gbl.gg/images/d/d7/SG_ann_clk_hb.png,https://wiki.gbl.gg/images/4/4e/SG_ann_clk_fd.png,LIGHT_NORMAL,15.0,1.0,1.0,ANNIE,2LK,250.0,250.0
1,MACRO_2MK,['Low'],['-'],575,,,['7.5'],,-2,,-6 ,['14'],['3'],['22'],['22'],['18'],['9'],,,"['2', '19']",,https://wiki.gbl.gg/images/7/77/SG_ann_cmk_hb.png,https://wiki.gbl.gg/images/0/0e/SG_ann_cmk_fd.png,MEDIUM_NORMAL,20.0,1.0,1.0,ANNIE,2MK,575.0,825.0
2,MACRO_5HP,['Mid'],['Chains Into Self'],700,,,['4.5'],,0,,-11 ,['16'],['2'],['33'],['34'],['23'],['11'],,,"['-8', '-7']",- See also 5HP X2.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/c/c2/SG_ann_shp_fd.png,HEAVY_NORMAL,30.0,1.0,1.0,ANNIE,5HP,700.0,1525.0
3,"HP X2
S.HP X2
SHP X2
5.HP X2
5HPX2
HPX2
S.HPX2
SHPX2
5.HPX2",['High'],['-'],0,,,['4.5'],,,Soft KD,-6 ,['19'],['2'],['21'],['27'],['16'],['11'],,,"['4', '5']",- Airborne on frame 7.- Can use the airborne state to kara into divekicks to continue a combo.,https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/1/1d/SG_ann_shp2_fd.png,HEAVY_NORMAL,30.0,1.0,1.0,ANNIE,5HP X2,0.0,1525.0
4,,,,0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,ANNIE,KARA,0.0,1525.0
5,"MACRO_J236K
RE-ENTRY
RE-ENTRY X1
RE ENTRY X1
DIVEKICK X1
DIVEKICK",['Mid'],['-'],300,,['100'],[' 7.5'],['2.5'],11,,-5,['15'],['Until ground'],['24'],['33'],['20'],['13'],['10'],,['-'],"- Annie does up to three divekicks, with the strength determining the angle of her dive.- L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).- Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.- See also RE ENTRY X2, RE ENTRY X3.",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/6/6c/SG_ann_jqcfkx1_fd.png,SPECIAL_MOVE,20.0,0.875,0.875,ANNIE,RE ENTRY,262.0,1787.0
6,,,,0,,,,,,,,,,,,,,,,,,,,,,0.875,0.875,ANNIE,ADC,0.0,1787.0
7,"MACRO_JHP
ROLLING",['High'],['-'],875,,,['10'],,-2,,-2,['16'],['2'],['25'],['27'],['22'],['12'],,,['-'],"- While in Star Power, this move will only spawn stars once per jump.",https://wiki.gbl.gg/images/4/4f/SG_ann_jhp_hb.png,https://wiki.gbl.gg/images/d/dd/SG_ann_jhp_fd.png,HEAVY_NORMAL,30.0,0.765625,0.765625,ANNIE,JHP,669.0,2456.0
8,MACRO_5HK,['Mid'],['Launcher'],950,,,['10'],,-3,,-14 ,['17'],['6'],['28'],['30'],['19'],['14'],['10'],,"['-11', '-6']","- Main combo tool with H DP in the corner.- During install, the star projectile will whiff on most crouching opponents when up close so the block advantage will stay -14.",https://wiki.gbl.gg/images/2/28/SG_ann_shk_hb.png,https://wiki.gbl.gg/images/8/87/SG_ann_shk_fd.png,HEAVY_NORMAL,30.0,0.669921875,0.669921875,ANNIE,5HK,636.0,3092.0
9,MACRO_JMK,['High'],['-'],625,,,['2.5'],,3,,0,"['8', ' (34)', ' 6']",['4'],['20'],['26'],['29'],['9'],,,['-'],- Hold to extend startup frames to float. Carries air momentum.,https://wiki.gbl.gg/images/9/98/SG_ann_jmk_hb.png,https://wiki.gbl.gg/images/4/4b/SG_ann_jmk_fd.png,MEDIUM_NORMAL,20.0,0.586181640625,0.586181640625,ANNIE,JMK,366.0,3458.0
