character,move_name,alt_names,guard,properties,damage,chip_damage,meter_on_hit,meter_on_whiff,on_hit_advantage,on_hit_effect,on_block,startup,active,recovery,hitstun,blockstun,hitstop,on_pushblock,footer,thumbnail_url,footer_url,move_category,undizzy
ANNIE,5LP,"LP,SLP,S.LP,5.LP,JAB,STANDING LP,STAND LP,STANDING JAB,STAND JAB",Mid,Chains Into Self,[300],,['2.50'],,1.0,,4,[6],[2],[14],[16],[19],[7],11 to 12,"['Can chain into itself once, or into 2LP.\n', 'See also 5LP X2.']",https://wiki.gbl.gg/images/7/73/SG_ann_slp_hb.png,https://wiki.gbl.gg/images/0/0f/SG_ann_slp1_fd.png,LIGHT_NORMAL,15.0
ANNIE,5LP X2,"LP X2,SLP x2,S.LP x2,5.LP x2,JAB x2,LPX2,SLPX2,S.LPX2,5.LPX2,JABX2,SLP 2ND,S.LP 2ND,5.LP 2ND,5LP 2ND,JAB 2ND,STANDING JAB 2ND,STAND JAB 2ND,STANDING LP 2ND,STAND LP 2ND",Mid,,[300],,['2.50'],,1.0,,4,"['11 (whiff)', '6 (hit/block)']",[2],[14],[16],[19],[7],11 to 12,[],https://wiki.gbl.gg/images/7/73/SG_ann_slp_hb.png,https://wiki.gbl.gg/images/3/35/SG_ann_slp2_fd.png,LIGHT_NORMAL,15.0
ANNIE,5MP,"MP,SMP,S.MP,5.MP,STRONG,STANDING STRONG,STAND STRONG,STANDING MP,STAND MP",Mid,,[500],,['7.50'],,-1.0,,-10,[12],[2],[26],[25],[16],[9],-1 to 0,[],https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png,https://wiki.gbl.gg/images/3/33/SG_ann_smp_hb.png,MEDIUM_NORMAL,20.0
ANNIE,5HP,"HP,S.HP,SHP,5.HP,FIERCE,STAND FIERCE,STANDING FIERCE,STAND HP,STANDING HP",Mid,Chains Into Self,[700],,['4.5'],,0.0,,-10,[16],[2],[33],[34],[23],[11],-8 to -7,['See also 5HP X2.'],https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/c/c2/SG_ann_shp_fd.png,HEAVY_NORMAL,30.0
ANNIE,5HP X2,"HP X2,S.HP X2,SHP X2,5.HP X2,5HPX2,HPX2,S.HPX2,SHPX2,5.HPX2",High,,[600],,['4.5'],,,Soft KD,-5,[19],[2],[21],[27],[16],[11],4 to 5,"['Airborne on frame 7.\n', 'Can use the airborne state to kara into divekicks to continue a combo.']",https://wiki.gbl.gg/images/5/51/SG_ann_shp_hb.png,https://wiki.gbl.gg/images/1/1d/SG_ann_shp2_fd.png,HEAVY_NORMAL,30.0
ANNIE,5LK,"LK,SLK,S.LK,5.LK,SHORT,STANDING SHORT,STAND SHORT,STANDING LK,STAND LK",Mid,,"[200, 200, 300]",,"['2.7', '2.7', '3.15']",,6.0,,0,[8],"[4, 4, 4]",[15],"[25, 25, 24]","[17, 17, 18]","[4, 4, 9]",0 to 8,[],https://wiki.gbl.gg/images/c/cf/SG_ann_slk_hb.png,https://wiki.gbl.gg/images/a/a8/SG_ann_slk_fd.png,LIGHT_NORMAL,15.0
ANNIE,5MK,"MK,SMK,S.MK,5.MK,FORWARD,STAND FORWARD,STANDING FORWARD,STAND MK,STANDING MK",Mid,Chains Into Self,[400],,['3.75'],,3.0,,3,[11],[4],[17],[23],[23],[10],6 to 9,['See also 5MK X2.'],https://wiki.gbl.gg/images/a/a4/SG_ann_smk_hb.png,https://wiki.gbl.gg/images/0/05/SG_ann_smk1_fd.png,MEDIUM_NORMAL,20.0
ANNIE,5MK X2,"MK X2,S.MK X2,SMK X2,5.MK X2,5MKX2,MKX2,S.MKX2,SMKX2,5.MKX2",Mid,,[500],,['7.5'],,-1.0,,-6,[10],[3],[24],[24],[19],[9],0 to 2,[],https://wiki.gbl.gg/images/a/a4/SG_ann_smk_hb.png,https://wiki.gbl.gg/images/6/6d/SG_ann_smk2_fd.png,MEDIUM_NORMAL,20.0
ANNIE,5HK,"HK,SHK,S.HK,5.HK,ROUNDHOUSE,ROUND HOUSE,STAND ROUND HOUSE,STANDING ROUNDHOUSE,STAND ROUNDHOUSE,STANDING ROUND HOUSE,STAND HK,STANDING HK",Mid,Launcher,[950],,['10'],,-2.0,,-13,[17],[6],[28],[30],[19],['14 (10 on block)'],-11 to -6,"['Main combo tool with H DP in the corner.\n', 'During install, the star projectile will whiff on most crouching opponents when up close so the block advantage will stay ']",https://wiki.gbl.gg/images/2/28/SG_ann_shk_hb.png,https://wiki.gbl.gg/images/8/87/SG_ann_shk_fd.png,HEAVY_NORMAL,30.0
ANNIE,2LP,"CLP,C.LP,2.LP,CRLP,CR.LP,CROUCHING JAB,CROUCH JAB,CROUCHING LP,CROUCH LP",Mid,Chains Into Self,[300],,['2.5'],,2.0,,1,[6],[3],[15],[19],[18],[7],9 to 26,"[""Is head invul during active frames, similar to Guilty Gear 6P's.\n"", 'Can chain to sLP instead of cLP x2.\n', 'See also 2LP X2.']",https://wiki.gbl.gg/images/1/1e/SG_ann_clp_hb.png,https://wiki.gbl.gg/images/e/ec/SG_ann_clp_fd.png,LIGHT_NORMAL,15.0
ANNIE,2LP X2,"CLP X2,C.LP X2,2.LP X2,CLPX2,C.LPX2,2.LPX2,2LPX2,CLP 2ND,C.LP 2ND,2.LP 2ND,2LP 2ND,CROUCHING JAB 2ND,CROUCH JAB 2ND",Mid,,[300],,['2.5'],,2.0,,1,[6],[3],[15],[19],[18],[7],9 to 26,"[""Is head invul during active frames, similar to Guilty Gear 6P's.""]",https://wiki.gbl.gg/images/1/1e/SG_ann_clp_hb.png,https://wiki.gbl.gg/images/8/84/SG_ann_clp2_fd.png,LIGHT_NORMAL,15.0
ANNIE,2MP,"CMP,C.MP,2.MP,CR.MP,CRMP,CROUCHING STRONG,CROUCH STRONG,CROUCHING MP,CROUCH MP",Mid,,[600],,['7.5'],,-1.0,,-4,[10],[4],[21],[28],[19],[9],2 to 20,[],https://wiki.gbl.gg/images/f/fe/SG_ann_cmp_hb.png,https://wiki.gbl.gg/images/8/85/SG_ann_cmp_fd.png,MEDIUM_NORMAL,20.0
ANNIE,2HP,"CHP,C.HP,2.HP,CRHP,CR.HP,CROUCH FIERCE,CROUCHING FIERCE,CROUCH HP,CROUCHING HP",Mid,,[1200],,['10'],,,KD,-12,[12],[3],[34],[22],[25],[9],-12 to 12,['Very quick anti'],https://wiki.gbl.gg/images/a/a6/SG_ann_chp_hb.png,https://wiki.gbl.gg/images/f/f8/SG_ann_chp_fd.png,HEAVY_NORMAL,30.0
ANNIE,2LK,"CLK,C.LK,2.LK,CR.LK,CRLK,CROUCH SHORT,CROUCHING SHORT,CROUCH LK,CROUCHING LK",Low,,[250],,['2.5'],,2.0,,0,[7],[3],[15],[19],[17],[7],9 to 25,[],https://wiki.gbl.gg/images/d/d7/SG_ann_clk_hb.png,https://wiki.gbl.gg/images/4/4e/SG_ann_clk_fd.png,LIGHT_NORMAL,15.0
ANNIE,2MK,"CMK,C.MK,2.MK,CRMK,CR.MK,CROUCHING FORWARD,CROUCH FORWARD,CROUCHING MK,CROUCH MK",Low,,[575],,['7.5'],,-1.0,,-5,[14],[3],[22],[22],[18],[9],2 to 19,[],https://wiki.gbl.gg/images/7/77/SG_ann_cmk_hb.png,https://wiki.gbl.gg/images/0/0e/SG_ann_cmk_fd.png,MEDIUM_NORMAL,20.0
ANNIE,2HK,"CHK,C.HK,2.HK,CR.HK,CRHK,CROUCH ROUNDHOUSE,CROUCH ROUND HOUSE,CROUCHING ROUND HOUSE,CROUCHING ROUNDHOUSE,CROUCH HK,CROUCHING HK,STUN DIPPER,BIG DIPPER,DIPPER",Low,Sweep,"[700, 900]",,"['7.5', '7.5']",,,Soft KD (Invuln.),-10,[12],"[17, '(Varies)', 3]","['10 (whiff)', '24 (hit/block)']","[38, 14]","[24, 15]","[7, 9]","-24 to -1, 0 to 2","['Cannot combo afterwards when hitting OTG, unlike other sweeps. However, the install version can always combo afterwards, regardless of whether it hits OTG or not.\n', 'Has a buffer into 5LP to make this conversion more consistent.']",https://wiki.gbl.gg/images/e/e6/SG_ann_chk_hb.png,https://wiki.gbl.gg/images/2/23/SG_ann_chk_fd.png,HEAVY_NORMAL,30.0
ANNIE,JLP,"J.LP,J LP,JUMP JLP,JUMPING JLP,JUMP LP,JUMPING LP,JUMP JAB",High,,[250],,['2.5'],,12.0,,14,[7],[3],[7],[21],[24],[7],,[],https://wiki.gbl.gg/images/0/0d/SG_ann_jlp_hb.png,https://wiki.gbl.gg/images/9/9c/SG_ann_jlp_fd.png,LIGHT_NORMAL,15.0
ANNIE,JMP,"J.MP,J MP,JUMP JMP,JUMPING JMP,JUMP MP,JUMPING MP,JUMP STRONG",High,,"[250, 250, 250, 250]",,"['2', '2', '2', '2']",,16.0,,7,[15],"[1, 2, 3, 3]",[11],"[25, 25, 25, 25]","[18, 18, 18, 18]","[3, 3, 3, 3]",,[],https://wiki.gbl.gg/images/e/e4/SG_ann_jmp_hb.png,https://wiki.gbl.gg/images/c/cc/SG_ann_jmp_fd.png,MEDIUM_NORMAL,20.0
ANNIE,JHP,"J.HP,J HP,JUMP HP,JUMP JHP,JUMPING HP,JUMPING JHP,JUMP FIERCE,ROLLING",High,,[875],,['10'],,-1.0,,-1,[16],[2],[25],[27],[22],[12],,"['While in Star Power, this move will only spawn stars once per jump.']",https://wiki.gbl.gg/images/4/4f/SG_ann_jhp_hb.png,https://wiki.gbl.gg/images/d/dd/SG_ann_jhp_fd.png,HEAVY_NORMAL,30.0
