00:44:45 [4699ms] frame_data_operations[244]| INFO: ========== Starting skug_stats ==========
00:44:45 [4700ms] frame_data_operations[245]| INFO: Loading csvs into dataframes
00:44:45 [4701ms] frame_data_operations[246]| INFO: Currect working directory: C:\Users\micah\repos\skugs
00:44:45 [4723ms] frame_data_operations[256]| INFO: Loaded csvs into dataframes
00:44:45 [4989ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [4990ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [4990ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4990ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4990ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4990ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4990ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [4990ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [4990ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4991ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4991ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4991ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4991ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [4991ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [4991ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4991ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4991ms] frame_data_operations[28]| DEBUG: Splitting Launcher on comma and removing spaces
00:44:45 [4992ms] frame_data_operations[23]| DEBUG: Removing spaces from Launcher
00:44:45 [4992ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [4992ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [4992ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4992ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4992ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4992ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4992ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4993ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4993ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4993ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4993ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4993ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4993ms] frame_data_operations[28]| DEBUG: Splitting Sweep on comma and removing spaces
00:44:45 [4993ms] frame_data_operations[23]| DEBUG: Removing spaces from Sweep
00:44:45 [4993ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4994ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4994ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4994ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4994ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4994ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4994ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4994ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4994ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4995ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4995ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4995ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4995ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4995ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4995ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4995ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4995ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [4996ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
00:44:45 [4996ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [4996ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
