,character,move_name,damage,scaling_effect,scaling_for_hit,scaling_after_modifiers,scaled_damage,summed_damage
0,ANNIE,2LK,250,,1.0,1.0,250.0,250.0
1,ANNIE,2MK,575,,1.0,1.0,575.0,825.0
2,ANNIE,5HP,700,,1.0,1.0,700.0,1525.0
3,ANNIE,H NORTH KNUCKLE,650,,0.875,0.875,568.0,2093.0
4,ANNIE,H NORTH KNUCKLE FOLLOWUP,900,,0.765625,0.765625,689.0,2782.0
5,ANNIE,SAGAN BEAM,250,,0.669921875,0.669921875,167.0,2949.0
6,ANNIE,SAGAN BEAM,250,,0.586181640625,0.586181640625,146.0,3095.0
7,ANNIE,SAGAN BEAM,250,,0.512908935546875,0.512908935546875,128.0,3223.0
8,ANNIE,SAGAN BEAM,250,,0.4487953186035156,0.4487953186035156,112.0,3335.0
9,ANNIE,SAGAN BEAM,250,,0.39269590377807617,0.39269590377807617,98.0,3433.0
10,ANNIE,SAGAN BEAM,250,,0.34360891580581665,0.34360891580581665,85.0,3518.0
11,ANNIE,SAGAN BEAM,250,,0.30065780133008957,0.30065780133008957,75.0,3593.0
12,ANNIE,SAGAN BEAM,250,,0.2630755761638284,0.2630755761638284,65.0,3658.0
13,ANNIE,SAGAN BEAM,250,,0.23019112914334983,0.23019112914334983,57.0,3715.0
14,ANNIE,SAGAN BEAM,250,,0.2014172380004311,0.2014172380004311,50.0,3765.0
15,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,3815.0
16,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,3865.0
17,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,3915.0
18,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,3965.0
19,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4015.0
20,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4065.0
21,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4115.0
22,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4165.0
23,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4215.0
24,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4265.0
25,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4315.0
26,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4365.0
27,ANNIE,SAGAN BEAM,250,,0.2,0.2,50.0,4415.0
